table,project,link,sponsors,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DubCredit,http://dubhacks17f.devpost.com/submissions/79927-dubcredit,"Best .TECH domain, MLH - Best Domain Name from Domain.com, Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Emotional IQ,http://dubhacks17f.devpost.com/submissions/79928-emotional-iq,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ElderLift,http://dubhacks17f.devpost.com/submissions/79929-elderlift,"Best Transportation-Related Hack, Best .TECH domain, MLH - Best Domain Name from Domain.com, MLH - Amazon Web Services - Best Use of AWS, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Redlines: Crowdsourcing to fight fake news,http://dubhacks17f.devpost.com/submissions/79930-redlines-crowdsourcing-to-fight-fake-news,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,LinkOCR,http://dubhacks17f.devpost.com/submissions/79934-linkocr,MLH - Amazon Web Services - Best Use of AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Noise From UW, Seattle, WA, US",http://dubhacks17f.devpost.com/submissions/79937-noise-from-uw-seattle-wa-us,Google API Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,calcuspeak,http://dubhacks17f.devpost.com/submissions/79938-calcuspeak,"Best use of Microsoft technology, Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EnbyPee,http://dubhacks17f.devpost.com/submissions/79945-enbypee,Google API Prize,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,dubhacks-2017,http://dubhacks17f.devpost.com/submissions/79947-dubhacks-2017,"MLH - Best Domain Name from Domain.com, MLH - Amazon Web Services - Best Use of AWS, Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ng-Portfolio,http://dubhacks17f.devpost.com/submissions/79948-ng-portfolio,"Best use of storytelling (+ Marvel API), Google API Prize",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sign2Speech,http://dubhacks17f.devpost.com/submissions/79950-sign2speech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CarmaDriven,http://dubhacks17f.devpost.com/submissions/79951-carmadriven,"Help people live safer, more secure lives leveraging Liberty Mutualâ€™s Shine API, Best Transportation-Related Hack, Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Factually,http://dubhacks17f.devpost.com/submissions/79952-factually,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,LinkLives,http://dubhacks17f.devpost.com/submissions/79955-linklives,"MLH - Best Domain Name from Domain.com, MLH - Amazon Web Services - Best Use of AWS",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SeenAndHeard,http://dubhacks17f.devpost.com/submissions/79960-seenandheard,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Spare Change,http://dubhacks17f.devpost.com/submissions/79962-spare-change,"MLH - Amazon Web Services - Best Use of AWS, Best use of Microsoft technology",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HoloPitch,http://dubhacks17f.devpost.com/submissions/79967-holopitch,Best use of Microsoft technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
